,Director(s),Star(s),Votes,Gross,Language(s),Country_of_origin,Production_companies,Poster_image,Release_date,Title,Imdb_rating,Duration,Genre,Summary,MPA_rating
326, Nikole Beckwith ,"[' Patti Harrison', ' Ed Helms', ' Rosalind Chao', ' Timm Sharp']"," 5,526",,['English'],['United States'],"['Wild Idea', 'Stay Gold Features', 'Haven Entertainment']",https://m.media-amazon.com/images/M/MV5BYTI5MmQ0M2UtMjZkZC00Mjk1LTljZmItN2ZlYzQ3MDdkZTQ3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-04-23,Together Together,['6.5'],['90 min'],['Comedy'],"['When a young loner becomes the gestational surrogate for a single man in his 40s, the two strangers come to realize this unexpected relationship will challenge their perceptions of connection, boundaries and the particulars of love.']",['R']
327, Jaco Bouwer ,"[' Monique Rockman', ' Carel Nel', ' Alex van Dyk', ' Anthony Oseyemi']"," 4,165",,"['English', 'Afrikaans']",['South Africa'],['Film Initiative Africa'],https://m.media-amazon.com/images/M/MV5BMWU0MzJiMWEtOWQyYi00YTZkLWExYWEtZDZkODRlZDliOTVhXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,2021-06-18,Gaia,['5.6'],['96 min'],"['Drama, Fantasy, Horror']",['An injured forest ranger on a routine mission is saved by two off-the-grid survivalists. What is initially a welcome rescue grows more suspicious as the son and his renegade father reveal a cultish devotion to the forest.'],['R']
328, Takahiro Miki ,"[' Naohito Fujiki', ' Kenta Hamano', ' Taizô Harada', ' Kaya Kiyohara']", 342,,['Japanese'],['Japan'],['Toho'],https://m.media-amazon.com/images/M/MV5BNzVmYWUzNjUtYjg1YS00ZGVjLTllZjQtYjdjNDM3YmNjYzUzXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,2021-02-19,The Door Into Summer,['6.5'],['118 min'],['Sci-Fi'],"['An inventor of robotics technology is robbed by his girlfriend and business partner and sent to the future via cryogenic sleep. But when he awakes 30 years later, he is assisted by a humanoid robot originally his own creation.']",
329, Stephen Herek ,"[' Victoria Justice', ' Midori Francis', ' Robyn Scott', ' Adam Garcia']"," 7,429",,['English'],['United States'],"['Advantage Entertainment', 'DAE Light Media', 'Front Row Films']",https://m.media-amazon.com/images/M/MV5BN2FlMGRlZTctY2Q5YS00ZWIzLThjYzQtNTZhYmEwYjU2MmI0XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,2021-09-02,Afterlife of the Party,['5.8'],['109 min'],"['Comedy, Drama, Fantasy']",['A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.'],['TV-PG']
330, Leigh Janiak ,"[' Kiana Madeira', ' Ashley Zukerman', ' Gillian Jacobs', ' Olivia Scott Welch']"," 45,527",,['English'],['United States'],"['Netflix', 'Chernin Entertainment']",,2021-07-16,Fear Street: Part Three - 1666,['6.6'],['114 min'],"['Horror, Mystery']","[""The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.""]",['R']
331, Vinil Mathew ,"[' Taapsee Pannu', ' Vikrant Massey', ' Harshvardhan Rane', ' Aditya Srivastav']"," 24,567",,['Hindi'],['India'],"['Colour Yellow Productions', 'Eros Worldwide', 'T-Series Films']",,2021-07-02,Haseen Dillruba,['6.9'],['135 min'],"['Crime, Drama, Mystery']","[""Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.""]",['TV-MA']
332, Michael Lembeck ,"[' Ellen Burstyn', ' Jane Curtin', ' Loretta Devine', ' Ann-Margret']"," 1,450",,['English'],['United States'],"['Astute Films', 'Big Indie Pictures']",https://m.media-amazon.com/images/M/MV5BZDNiYTEyNWEtMDUwNy00Njg0LTg0YjQtMmIzNTkwZTkwY2Q0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,2021-06-11,Queen Bees,['6.2'],['100 min'],"['Comedy, Drama, Romance']","[""After reluctantly agreeing to move in to a senior's home, a woman encounters a clique of mean-spirited women and an amorous widower.""]",['PG-13']
333, Adam Lipsius ,"[' Richard Dreyfuss', ' Mira Sorvino', ' Pruitt Taylor Vince', ' D.W. Moffett']", 438,,,,,,,Crime Story,['3.7'],['98 min'],"['Crime, Drama, Thriller']",['An old man suffering from cancer seeks revenge on the thieves who have destroyed his life.'],['R']
334, Joanna Hogg ,"[' Tilda Swinton', ' Honor Swinton Byrne', ' James Spencer Ashworth', ' Alice McMillan']", 610,,['English'],['United Kingdom'],"['BBC Films', 'BFI Film Fund', 'Element Pictures']",https://m.media-amazon.com/images/M/MV5BODllMjY0MWYtNTMzMi00MDU4LTllZjItY2ViMDkwNDRmZTI0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,2022-02-04,The Souvenir: Part II,['7.8'],['107 min'],"['Drama, Romance']","['In the aftermath of her tumultuous relationship, Julie begins to untangle her fraught love for him in making her graduation film, sorting fact from his elaborately constructed fiction.']",['R']
335, Jeff Wamester ,"[' Stana Katic', ' Matt Bomer', ' Omid Abtahi', ' Geoffrey Arend']"," 5,963",,['English'],['United States'],"['DC Comics', 'Warner Bros. Animation']",https://m.media-amazon.com/images/M/MV5BMjQ4Njk5ODMtNjZhMC00OTRjLTg3NzktYjViNmE1ZWE5MzhlXkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_.jpg,2021-04-27,Justice Society: World War II,['6.4'],['84 min'],"['Animation, Action, Adventure']","['The Justice Society of America, a group of heroes aiding the allies in World War 2, acquire an ally from the future who sends them on an adventure that changes history.']",['PG-13']
336, Anna Elizabeth James ,"[' Kristin Davis', ' Dermot Mulroney', ' Shanola Hampton', ' Greer Grammer']"," 11,435",,['English'],['United States'],['Kiss and Tale Productions'],https://m.media-amazon.com/images/M/MV5BYjMwZTcxZTItNzc2OS00NjkyLTk3NTQtNWQwZDQ0ZjIzYjExXkEyXkFqcGdeQXVyMTY2OTk3NjA@._V1_.jpg,2021-03-18,Deadly Illusions,['3.7'],['114 min'],"['Drama, Thriller']","[""After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.""]",['R']
337, David Yarovesky ,"[' Winslow Fegley', ' Lidya Jewett', ' Krysten Ritter', ' Jess Brown']"," 7,598",,['English'],['United States'],"['Catchlight Studios', 'Ghost House Pictures', 'MXN Entertainment']",https://m.media-amazon.com/images/M/MV5BY2E4MmNmMzgtOTI2YS00MzhjLTlmOWItZTkxNWRkYTY2NDcwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg,2021-09-15,Nightbooks,['5.8'],['103 min'],"['Family, Fantasy, Horror']","['Alex, a boy obsessed with scary stories, is imprisoned by an evil young witch in her contemporary New York City apartment.']",['TV-PG']
338, Tate Taylor ,"[' Allison Janney', ' Mila Kunis', ' Regina Hall', ' Awkwafina']"," 4,839",,['English'],"['United Kingdom', 'United States']","['AGC Studios', 'Nine Stories Productions', 'Sarma Films']",https://m.media-amazon.com/images/M/MV5BMWJkMTg1NWUtN2E0Yy00Y2M4LWEyMjItMjQ4ZDBiYmY3ZWIyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-02-12,Breaking News in Yuba County,['5.8'],['96 min'],"['Comedy, Crime, Drama']",['A woman takes advantage of her growing celebrity status when the police and the public think her dead husband is just missing.'],['R']
339, Marco Tullio Giordana ,"[' Isabella Ragonese', ' Alessio Boni', ' Thomas Trabacchi', ' Sandra Toffolatti']"," 3,848",,['Italian'],['Italy'],,https://m.media-amazon.com/images/M/MV5BMWFhYzE3YTUtZTVhNC00NWNkLWFkNzUtOTM5MTcxMDdhNzMzXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg,2021-11-05,Yara,['6.2'],['96 min'],"['Crime, Drama, Thriller']",['A determined prosecutor becomes consumed with the case of a missing 13-year-old and goes to extreme lengths to get to the truth. Based on a real case.'],['TV-14']
340, Vaughn Stein ,"[' Casey Affleck', ' Michelle Monaghan', ' Sam Claflin', ' Veronica Ferres']"," 4,202",,['English'],['United States'],"['Construction Film', '13 Films', 'Southpaw Entertainment (I)']",https://m.media-amazon.com/images/M/MV5BMDc0YzQ0YzEtM2YzMC00OGYxLTkxYjEtYmVmZmE1M2RiOWNkXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,2021-04-02,Every Breath You Take,['5.3'],['105 min'],"['Drama, Mystery, Thriller']",['A psychiatrist whose client commits suicide finds his family life disrupted after introducing her surviving brother to his wife and daughter.'],['R']
341, Nick Stagliano ,"[' Anson Mount', ' Abbie Cornish', ' Anthony Hopkins', ' David Morse']"," 5,628",,['English'],['United States'],"['Nazz Productions', 'Pelican Films']",,2021-04-30,The Virtuoso,['4.9'],['110 min'],"['Action, Thriller']","['Danger, deception and murder descend upon a sleepy town when a professional assassin accepts a new assignment from his enigmatic boss.']",['R']
342, John Swab ,"[' Josh Hartnett', ' Frank Grillo', ' Melissa Leo', ' Sofia Hublitz']", 957 , $0.02M,,,,,,Ida Red,['5.5'],['111 min'],"['Action, Thriller']","['Ida ""Red"" Walker may not survive her terminal illness while incarcerated for armed robbery. She turns to her son, Wyatt, for one last job and a chance to regain her freedom.']",['R']
343, Ben Wheatley ,"[' Joel Fry', ' Reece Shearsmith', ' Hayley Squires', ' Ellora Torchia']"," 6,399",,['English'],['United Kingdom'],"['Rook Films', 'Neon']",https://m.media-amazon.com/images/M/MV5BMWU0NjMxZGMtMjg5OC00Y2RiLThiMmEtYzYzMmFiNTgyMjM5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-04-16,In the Earth,['5.2'],['107 min'],"['Horror, Sci-Fi, Thriller']","['As the world searches for a cure to a disastrous virus, a scientist and park scout venture deep in the forest for a routine equipment run.']",['R']
344, Varun V. Sharma ,"[' Saif Ali Khan', ' Rani Mukerji', ' Siddhant Chaturvedi', ' Sharvari Wagh']"," 3,261",,['Hindi'],['India'],['Yash Raj Films'],https://m.media-amazon.com/images/M/MV5BMWVmZmUxY2EtZmU5ZC00YjEwLWExMzItMDU5MWJiYzFmNDI0XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_.jpg,2021-11-19,Bunty Aur Babli 2,['3.9'],['138 min'],"['Comedy, Romance']",['Bunty and Babli are forced out of retirement after a spate of robberies with their trademark sigil start appearing across India.'],
345,"[' Ross MacGibbon', ' Kathleen Marshall ']","[' Sutton Foster', ' Robert Lindsay', ' Felicity Kendal', ' Gary Wilmot']", 65,,['English'],['United Kingdom'],,https://m.media-amazon.com/images/M/MV5BMTY5MzJlMzctY2JkMC00MzdlLWI4NWEtMTYzYWU2NjBhNWE3XkEyXkFqcGdeQXVyMzUxNTM4ODc@._V1_.jpg,2021-11-28,Anything Goes,['8.0'],['159 min'],"['Comedy, Musical']","['Filmed live at the Barbican in London, this major new 5-star production of the classic musical comedy features an all-star cast. When the S.S. American heads out to sea, etiquette and ... See full summary »']",
346, Kenji Nagasaki ,"[' Daiki Yamashita', ' Nobuhiko Okamoto', ' Yûki Kaji', ' Tetsu Inada']"," 1,830",,['Japanese'],['Japan'],,https://m.media-amazon.com/images/M/MV5BNTBhYjYzZjEtOTU0OC00N2Q3LTgzYzgtNTk2NDRmNzZhMjFmXkEyXkFqcGdeQXVyNTkyODc5MjA@._V1_.jpg,2021-10-29,My Hero Academia: World Heroes' Mission,['7.5'],['104 min'],"['Animation, Action, Adventure']","[""When a cult of terrorists ruins a city by releasing a toxin that causes people's abilities to spiral out of control, Japan's greatest heroes spread around the world in an attempt to track down the mastermind and put him to justice.""]",['PG-13']
347, Mikael Håfström ,"[' Anthony Mackie', ' Damson Idris', ' Enzo Cilenti', ' Emily Beecham']"," 40,330",,"['English', 'Ukrainian', 'Russian']","['Hungary', 'United States']","['Netflix', '42', 'Automatik Entertainment']",https://m.media-amazon.com/images/M/MV5BNmM2MWQ0NzktNzU0OS00MjYzLTkxNDYtMzliNTA5ZmNkMmZlXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2021-01-15,Outside the Wire,['5.4'],['114 min'],"['Action, Adventure, Fantasy']","['In the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.']",['R']
348, Amber Sealey ,"[' Elijah Wood', ' Luke Kirby', ' Aleksa Palladino', ' Robert Patrick']"," 5,296",,['English'],['United States'],['Company X'],https://m.media-amazon.com/images/M/MV5BZGZlZmViMzAtYjczYS00ZGQ1LTk0ZmItMWFiNzZhNWQ1NGEwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2021-08-27,No Man of God,['6.4'],['100 min'],"['Biography, Crime, Drama']","[""The complicated relationship that formed between the FBI analyst Bill Hagmaier and serial killer Bundy during Bundy's final years on death row.""]",
349, Franco Nero ,"[' Faye Dunaway', ' Kevin Spacey', ' Franco Nero', ' Robert Davi']", 55,,['Italian'],['Italy'],"[""L'Altrofilm""]",https://m.media-amazon.com/images/M/MV5BYjBkNDdkOTctODhlNy00M2QwLTljZTEtZmI4NmY5ZGFmY2EzXkEyXkFqcGdeQXVyMTAxNTQxMDk3._V1_.jpg,2021-10-05,The Man Who Drew God,['7.0'],['100 min'],['Drama'],"['The rise and fall of a blind artist who has the extraordinary gift of making true-to-life portraits just by listening to human voices, and of becoming a TV-junk star. A fable on the need to... See full summary »']",
350, Ivan Kavanagh ,"[' Andi Matichak', ' Emile Hirsch', ' Luke David Blumm', ' Cranston Johnson']"," 4,525",,['English'],"['Ireland', 'United States', 'United Kingdom']","['Belladonna Productions', 'Elastic Film', 'Park Films']",https://m.media-amazon.com/images/M/MV5BZDRmNDZlZTUtOTQwOS00NTAwLTg5OTktNzIzZjQ2OTk5NGU2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,2021-03-05,Son,['5.7'],['98 min'],"['Horror, Thriller']","['When a young boy contracts a mysterious illness, his mother must decide how far she will go to protect him from terrifying forces in her past.']",['Not Rated']
351,"[' David Silverman', ' Raymond S. Persi ']","[' Adam Devine', ' Rachel Bloom', ' Ken Jeong', ' Zazie Beetz']"," 2,002",,['English'],"['United States', 'China']","['China Lion Entertainment Production', 'Cinesite Animation', 'HB Wink Animation']",https://m.media-amazon.com/images/M/MV5BZjAzMDIxZDItNTRiMC00MWM4LTkwOTMtMTljZmQxNDdhMmE0XkEyXkFqcGdeQXVyMTI2ODM1ODUw._V1_.jpg,2021-11-19,Extinct,['5.5'],['84 min'],"['Animation, Adventure, Comedy']",['Op and Ed accidentally time-travel from the Galapagos Islands in 1835 to present-day Shanghai. They make their way through the city in confusion and make the horrifying discovery that the species to which they belong became extinct shortly after.'],['TV-Y7']
352, Neill Blomkamp ,"[' Carly Pope', ' Chris William Martin', ' Michael J Rogers', ' Nathalie Boltt']"," 3,524",,['English'],"['United States', 'Canada']","['AGC Studios', 'Sherborne Media', 'Stabiliti Studios']",https://m.media-amazon.com/images/M/MV5BNTljMmEyZDUtYTc4ZC00YmE5LWEwZWUtMGI5YjYxYWYyZjNkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-08-20,Demonic,['4.2'],['104 min'],"['Drama, Horror, Sci-Fi']",['A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.'],['R']
353, Daniel Farrands ,"[' Chad Michael Murray', ' Holland Roden', ' Jake Hays', ' Lin Shaye']", 801,,['English'],['United States'],"['1428 Films', 'Green Light Pictures']",https://m.media-amazon.com/images/M/MV5BMDJkOGJmYzItNDRlOC00Njg4LWE0YTMtYmZmOTFmNGQzY2I4XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,2021-08-16,Ted Bundy: American Boogeyman,['3.6'],['110 min'],['Crime'],"[""The intrepid FBI agents Kathleen McChesney and Robert Ressler, organize one of the largest manhunt in history to apprehend America's most infamous serial killer, Ted Bundy.""]",
354, César Rodrigues ,"[' Larissa Manoela', ' Vinícius Redd', ' Amanda de Godoi', ' Sergio Malheiros']"," 1,105",,['Portuguese'],['Brazil'],['A Fábrica'],https://m.media-amazon.com/images/M/MV5BNGI1MDI0YTUtODdjOC00YTc3LWI5OWQtNTcwYTIyM2QxODQwXkEyXkFqcGdeQXVyMTE5MTkxMDI2._V1_.jpg,2021-12-26,Lulli,['4.7'],['90 min'],"['Comedy, Romance']","['After getting electrocuted by an MRI machine, an ambitious young medical student begins to hear the thoughts of others.']",['TV-14']
355, Doug Liman ,"[' Chiwetel Ejiofor', ' Anne Hathaway', ' Sonic', ' Dulé Hill']"," 10,904",,['English'],"['United Kingdom', 'United States']","['Storyteller Productions', 'AGC Studios', 'Hypnotic']",https://m.media-amazon.com/images/M/MV5BYzllN2UzNDAtN2NiNS00Yjk2LTg4ZDctODI0NjQ3NjhiOWVjXkEyXkFqcGdeQXVyNzE3ODQxNjU@._V1_.jpg,2021-01-14,Locked Down,['5.2'],['118 min'],"['Comedy, Crime, Romance']","['A couple attempts a high-risk, high-stakes jewelry heist at a department store.']",['R']
356, Hicham Hajji ,"[' Gary Dourdan', ' Serinda Swan', ' Andy Garcia', ' Brice Bexter']"," 23,352",,"['English', 'French']",['United States'],"['H Films', 'Buffalo 8 Productions', 'Redemption Film']",,2021-01-08,Redemption Day,['5.8'],['99 min'],"['Action, Drama, Thriller']","['When the love of his life is kidnapped and held for ransom by terrorists, a war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against the most powerful and shadowy forces.']",['R']
357, Castille Landon ,"[' Katherine Heigl', ' Harry Connick Jr.', ' Madison Iseman', ' Israel Broussard']"," 6,513 ", $0.20M,['English'],['United States'],"['Sweet Tomato Films', 'Buzzfeed Studios', 'Zero Gravity Management']",https://m.media-amazon.com/images/M/MV5BNjMyYmRiYmEtMjVjOC00ZGU2LThkZWEtOWIyYWQzMWZkODg3XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_.jpg,2021-02-12,Fear of Rain,['5.9'],['109 min'],"['Drama, Horror, Thriller']","[""A girl living with schizophrenia struggles with terrifying hallucinations as she begins to suspect her neighbor has kidnapped a child. The only person who believes her is Caleb -a boy she isn't even sure exists.""]",['PG-13']
358,"[' Rajesh Bhatia', ' Laxman Utekar ']","[' Kriti Sanon', ' Evelyn Edwards', ' Pankaj Tripathi', ' Sai Tamhankar']"," 35,640",,['Hindi'],['India'],"['Jio Studios', 'Maddock Films', 'Skywalk Films']",https://m.media-amazon.com/images/M/MV5BZTkwMDQ4ZmEtNTdhNi00MmMzLTgwNTQtMDI1NDJjZjQ5Zjg5XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_.jpg,2021-07-26,Mimi,['8.0'],['132 min'],"['Comedy, Drama']",['Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.'],['TV-14']
359, Lee Haven Jones ,"[' Annes Elwy', ' Nia Roberts', ' Julian Lewis Jones', ' Steffan Cennydd']"," 1,190",,['Welsh'],['United Kingdom'],"['British Film Institute (BFI)', 'Ffilm Cymru Wales', 'Great Point Media']",https://m.media-amazon.com/images/M/MV5BMmI2NGU0YTktOTVkZC00YmIwLTgwZDItNDlkY2QxYzk4NTQyXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg,2022-04-29,The Feast,['5.4'],['93 min'],"['Drama, Horror, Mystery']","['Filmed in Welsh, the picture follows a young woman serving privileged guests at a dinner party in a remote house in rural Wales. The assembled guests do not realize they are about to eat their last supper.']",
360, Axelle Carolyn ,"[' Barbara Hershey', ' Bruce Davison', ' Nicholas Alexander', ' Jill Larson']"," 4,392",,['English'],['United States'],"['Amazon Studios', 'Blumhouse Television']",https://m.media-amazon.com/images/M/MV5BN2M5NDFmM2MtZGQyOS00ZjQ4LThhMGEtMjdiN2MxNGI0Mjk2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,2021-10-08,The Manor,['5.3'],['81 min'],"['Horror, Mystery']","['After suffering a mild stroke, Judith Albright reluctantly moves into a historic nursing home where she becomes convinced a supernatural force is killing the residents.']",['Not Rated']
361, Nelson Dilipkumar ,"[' Sivakarthikeyan', ' Vinay Rai', ' Priyanka Arulmohan', ' Yogi Babu']"," 13,190",,['Tamil'],['India'],"['KJR Studios', 'Sivakarthikeyan Productions']",https://m.media-amazon.com/images/M/MV5BYjI5MDJmZDItMjcyMS00YWY3LTk4ZmMtZTIzOTVjZTlhMDA4XkEyXkFqcGdeQXVyMTI4Nzc4Njg3._V1_.jpg,2021-10-09,Doctor,['7.6'],['148 min'],"['Action, Comedy, Crime']","[""When his fiancee's niece is kidnapped, a stoic army doctor and his motley team launch a rescue operation in which they need both wit and their wits.""]",
362,"[' Brett Bortle', ' Ritchie Greer ']","[' Corbin Bernsen', ' Jason London', ' Jack Gross', ' Juliet Rusche']", 96,,['English'],['United States'],"['My Black Lab Productions', 'Magic Arrow Films']",https://m.media-amazon.com/images/M/MV5BMGI4ZjBjNWYtYmI2OS00MjgxLTk0ZTctYzY1YWNkMWI2ODE0XkEyXkFqcGdeQXVyMTY3NTQ3MjE@._V1_.jpg,2021-04-01,Weekend Warriors,['4.3'],['93 min'],"['Action, Adventure, Thriller']","[""A fun camping trip turns into a desperate fight for survival after two kids witness a horrific event in the wild. They have to endure the elements and wildlife and they must also find a way to reach civilization before it's too late.""]",
